#my-all
    00:        00100093        addi x1 x0 1
    04:        00800113        addi x2 x0 8
    08:        402101b3        sub x3 x2 x2
    0c:        00114463        blt x2 x1 8
    10:        00008133        add x2 x1 x0
    14:        0011c463        blt x3 x1 8
    18:        00200113        addi x2 x0 2
    1c:        00202023        sw x2 0 x0
    20:        02000213        addi x4 x0 32
    24:        00c201e7        jalr x3 x4 12
    28:        00800193        addi x3 x0 8
    2c:        00302223        sw x3 4 x0
    30:        00402503        lw x10 4 x0
    34:        00002583        lw x11 0 x0
#end
# at the end we should have: (a0,a1) = (40,1)
